id,operation_name,elapsed
282, get_pharmacy_prescriptions, 19063.0
283, get_processed_pharmacy_prescriptions, 10175.0
284, get_staff_prescriptions, 6195.0
285, create_prescription, 148237.0
286, create_prescription, 164687.0
287, get_prescription_medication, 4305.0
288, get_pharmacy_prescriptions, 24002.0
289, create_prescription, 202300.0
290, get_processed_pharmacy_prescriptions, 6483.0
291, get_prescription_medication, 10108.0
292, get_prescription_medication, 12657.0
293, get_pharmacy_prescriptions, 16565.0
294, create_prescription, 169093.0
295, get_prescription_medication, 3114.0
296, get_pharmacy_prescriptions, 8431.0
297, get_staff_prescriptions, 9377.0
298, create_prescription, 205295.0
299, get_prescription, 7018.0
300, get_prescription_medication, 9385.0
301, create_prescription, 185257.0
302, create_prescription, 151230.0
303, get_pharmacy_prescriptions, 14721.0
304, get_pharmacy_prescriptions, 7814.0
305, get_prescription_medication, 10115.0
306, create_prescription, 178682.0
307, get_prescription_medication, 20646.0
308, get_prescription_medication, 4599.0
309, get_pharmacy_prescriptions, 16662.0
310, create_prescription, 210648.0
311, get_pharmacy_prescriptions, 15688.0
312, get_processed_pharmacy_prescriptions, 17351.0
313, update_prescription_medication, 8154.0
314, get_prescription_medication, 9840.0
315, create_prescription, 263076.0
316, get_pharmacy_prescriptions, 12798.0
317, get_prescription_medication, 6341.0
318, get_prescription_medication, 8625.0
319, get_patient, 14273.0
320, get_prescription_medication, 12752.0
321, get_prescription_medication, 6467.0
322, get_pharmacy_prescriptions, 12660.0
323, get_pharmacy_prescriptions, 21544.0
324, get_pharmacy_prescriptions, 8125.0
325, get_prescription_medication, 18309.0
326, get_pharmacy_prescriptions, 4387.0
327, get_pharmacy_prescriptions, 4985.0
328, get_patient, 7833.0
329, get_staff_prescriptions, 8920.0
330, get_prescription_medication, 2154.0
331, get_prescription_medication, 4862.0
332, get_prescription_medication, 8305.0
333, get_staff_prescriptions, 4776.0
334, get_prescription, 8844.0
335, get_prescription_medication, 12865.0
336, process_prescription, 6013.0
337, get_prescription_medication, 7698.0
338, get_prescription, 6423.0
339, get_prescription, 7657.0
340, get_pharmacy_prescriptions, 13984.0
341, get_pharmacy_prescriptions, 15890.000000000002
342, process_prescription, 23905.0
343, get_patient, 7334.0
344, get_pharmacy_prescriptions, 8519.0
345, get_staff_prescriptions, 8555.0
346, create_prescription, 201120.0
347, get_pharmacy_prescriptions, 10454.0
348, get_pharmacy_prescriptions, 11548.0
349, get_pharmacy_prescriptions, 14052.0
350, get_pharmacy_prescriptions, 8305.0
351, get_pharmacy_prescriptions, 11745.0
352, update_prescription_medication, 16320.000000000002
353, get_pharmacy_prescriptions, 10035.0
354, get_prescription_medication, 14207.0
355, get_staff_prescriptions, 11899.0
356, create_prescription, 162277.0
357, get_prescription_medication, 9692.0
358, create_prescription, 232442.0
359, get_staff_prescriptions, 8475.0
360, create_prescription, 269100.0
